IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year
"Dec 19, 2019",INDO,Indonesia Energy Corporation Limited,11.0,2.35,-78.64,32.41,2019
"Dec 19, 2019",MNPR,Monopar Therapeutics Inc.,8.0,38.78,384.75,237.05,2019
"Dec 13, 2019",OCFT,"OneConnect Financial Technology Co., Ltd.",10.0,6.14,-38.6,241.51,2019
"Dec 13, 2019",SPT,"Sprout Social, Inc.",17.0,20.77,22.18,1210.0,2019
"Dec 12, 2019",BILL,"BILL Holdings, Inc.",22.0,45.12,105.09,4600.0,2019
"Dec 12, 2019",EH,EHang Holdings Limited,12.5,19.09,52.72,1370.0,2019
"Dec 11, 2019",XP,XP Inc.,27.0,15.79,-41.52,8490.0,2019
"Dec 5, 2019",LMPX,"LMP Automotive Holdings, Inc.",5.0,0.35,-93.0,17.45,2019
"Nov 22, 2019",PINE,"Alpine Income Property Trust, Inc.",19.0,15.23,-19.84,235.92,2019
"Nov 21, 2019",CAN,Canaan Inc.,9.0,0.61,-93.27,225.83,2019
"Nov 21, 2019",SITM,SiTime Corporation,13.0,166.19,,3940.0,2019
"Nov 11, 2019",ETNB,"89bio, Inc.",16.0,7.75,-51.56,1130.0,2019
"Nov 8, 2019",CNSP,"CNS Pharmaceuticals, Inc.",4.0,1.1,-72.5,3.24,2019
"Nov 8, 2019",KRKR,36Kr Holdings Inc.,14.5,5.35,-63.1,10.68,2019
"Nov 8, 2019",MOHOY,ECMOHO Limited,10.0,,,0.61856,2019
"Nov 8, 2019",TELA,"TELA Bio, Inc.",13.0,0.95,-92.69,38.17,2019
"Nov 5, 2019",XHG,XChange TEC.INC,,0.12,,2.38,2019
"Nov 1, 2019",DUO,Fangdd Network Group Ltd.,13.0,0.23,-98.21,11.39,2019
"Oct 31, 2019",RAPT,"RAPT Therapeutics, Inc.",12.0,0.81,-93.23,107.19,2019
"Oct 25, 2019",CABA,"Cabaletta Bio, Inc.",11.0,1.15,-89.36,58.35,2019
"Oct 25, 2019",DAO,"Youdao, Inc.",17.0,9.05,-46.77,1080.0,2019
"Oct 25, 2019",PAIYY,Aesthetic Medical International Holdings Group Ltd.,,0.2,,9.61,2019
"Oct 25, 2019",PAVS,Paranovus Entertainment Technology Ltd.,5.5,1.2,-78.18,80.8,2019
"Oct 25, 2019",PGNY,"Progyny, Inc.",13.0,23.37,79.77,2000.0,2019
"Oct 25, 2019",PHAT,"Phathom Pharmaceuticals, Inc.",19.0,2.4,-87.37,167.16,2019
"Oct 25, 2019",TFFP,"TFF Pharmaceuticals, Inc.",5.0,0.07,-98.7,0.2888,2019
"Oct 24, 2019",BWIN,"The Baldwin Insurance Group, Inc.",,40.91,,4900.0,2019
"Oct 17, 2019",BRBR,"BellRing Brands, Inc.",14.0,63.55,353.93,8150.0,2019
"Oct 17, 2019",IPHA,Innate Pharma S.A.,5.5,2.3,-58.18,201.21,2019
"Oct 11, 2019",HBT,"HBT Financial, Inc.",16.0,23.27,45.44,732.9,2019
"Oct 11, 2019",VIR,"Vir Biotechnology, Inc.",20.0,5.65,-71.75,777.3,2019
"Oct 10, 2019",BNTX,BioNTech SE,15.0,94.74,531.6,22730.0,2019
"Oct 3, 2019",APRE,"Aprea Therapeutics, Inc.",15.0,1.75,-88.67,9.61,2019
"Oct 3, 2019",KRRO,"Korro Bio, Inc.",14.0,14.91,6.5,138.91,2019
"Oct 3, 2019",MCBS,"MetroCity Bankshares, Inc.",13.5,28.21,108.96,711.02,2019
"Sep 26, 2019",OPRT,Oportun Financial Corporation,15.0,5.5,-63.33,196.57,2019
"Sep 26, 2019",PTON,"Peloton Interactive, Inc.",29.0,6.99,-75.9,2730.0,2019
"Sep 19, 2019",DDOG,"Datadog, Inc.",27.0,106.06,292.82,36630.0,2019
"Sep 19, 2019",XGN,Exagen Inc.,14.0,6.44,-53.5,115.26,2019
"Sep 18, 2019",IGMS,"IGM Biosciences, Inc.",16.0,1.18,-92.63,69.94,2019
"Sep 18, 2019",NVST,Envista Holdings Corporation,22.0,16.39,-25.5,2780.0,2019
"Sep 13, 2019",ALRS,Alerus Financial Corporation,21.0,21.08,0.38,534.45,2019
"Sep 13, 2019",NET,"Cloudflare, Inc.",15.0,122.29,715.27,42380.0,2019
"Sep 13, 2019",STSA,"Satsuma Pharmaceuticals, Inc.",15.0,1.1,-92.67,36.8,2019
"Sep 13, 2019",SWTX,"SpringWorks Therapeutics, Inc.",18.0,46.16,156.44,3430.0,2019
"Sep 12, 2019",TXG,"10x Genomics, Inc.",39.0,8.12,-79.18,997.38,2019
"Aug 15, 2019",CFB,"CrossFirst Bankshares, Inc.",14.5,15.99,10.28,788.64,2019
"Aug 15, 2019",JFU,9F Inc.,9.5,1.49,-84.32,17.54,2019
"Aug 14, 2019",BTOG,Bit Origin Ltd,5.0,0.17,-96.74,1.41,2019
"Aug 8, 2019",INMD,InMode Ltd.,14.0,14.36,2.54,970.52,2019
"Aug 5, 2019",AMTD,AMTD IDEA Group,8.38,1.0,-88.07,66.05,2019
"Aug 1, 2019",DT,"Dynatrace, Inc.",16.0,47.4,196.25,14190.0,2019
"Aug 1, 2019",KRUS,"Kura Sushi USA, Inc.",14.0,61.34,338.11,738.3,2019
"Aug 1, 2019",SNDL,SNDL Inc.,13.0,1.31,-89.92,337.05,2019
"Jul 31, 2019",BORR,Borr Drilling Limited,9.3,1.72,-81.56,410.41,2019
"Jul 26, 2019",BHAT,Blue Hat Interactive Entertainment Technology,4.0,2.03,-49.0,10.02,2019
"Jul 26, 2019",VIST,"Vista Energy, S.A.B. de C.V.",9.0,44.59,395.44,4700.0,2019
"Jul 25, 2019",CSTL,"Castle Biosciences, Inc.",16.0,16.62,3.88,479.86,2019
"Jul 25, 2019",HCAT,"Health Catalyst, Inc.",26.0,4.08,-84.31,285.76,2019
"Jul 25, 2019",NOVA,Sunnova Energy International Inc.,12.0,0.2,-98.32,24.79,2019
"Jul 24, 2019",EIC,Eagle Point Income Company Inc.,19.0,14.41,-24.14,305.1,2019
"Jul 19, 2019",AFYA,Afya Limited,19.0,19.04,0.21,1720.0,2019
"Jul 19, 2019",IFS,Intercorp Financial Services Inc.,46.0,34.65,-24.67,3890.0,2019
"Jul 18, 2019",AMK,"AssetMark Financial Holdings, Inc.",22.0,35.24,60.18,2640.0,2019
"Jul 18, 2019",FULC,"Fulcrum Therapeutics, Inc.",16.0,5.38,-66.19,290.14,2019
"Jul 18, 2019",IHRT,"iHeartMedia, Inc.",17.0,1.09,-93.59,166.34,2019
"Jul 18, 2019",MIRM,"Mirum Pharmaceuticals, Inc.",15.0,40.96,173.07,2029.9999999999998,2019
"Jul 18, 2019",OBDC,Blue Owl Capital Corporation,15.3,13.72,-10.33,7010.0,2019
"Jul 18, 2019",PHR,"Phreesia, Inc.",17.0,24.42,43.65,1430.0,2019
"Jul 17, 2019",DOYU,DouYu International Holdings Limited,11.5,7.65,-33.48,230.87,2019
"Jul 12, 2019",THCA,Tuscan Holdings Corp. II,10.0,10.45,4.5,77.01,2019
"Jul 2, 2019",RMBI,"Richmond Mutual Bancorporation, Inc.",10.0,13.95,39.5,134.24,2019
"Jun 28, 2019",KRTX,"Karuna Therapeutics, Inc.",16.0,329.83,,12600.0,2019
"Jun 28, 2019",REAL,"The RealReal, Inc.",20.0,6.87,-65.68,776.39,2019
"Jun 27, 2019",ADPT,Adaptive Biotechnologies Corporation,20.0,8.81,-55.95,1340.0,2019
"Jun 27, 2019",BBIO,"BridgeBio Pharma, Inc.",17.0,36.96,117.38,7010.0,2019
"Jun 27, 2019",MORF,"Morphic Holding, Inc.",15.0,56.99,279.93,2860.0,2019
"Jun 26, 2019",CMBM,Cambium Networks Corporation,12.0,0.44,-96.33,12.46,2019
"Jun 20, 2019",AKRO,"Akero Therapeutics, Inc.",16.0,42.04,162.75,3350.0,2019
"Jun 20, 2019",GO,Grocery Outlet Holding Corp.,22.0,16.41,-25.41,1610.0,2019
"Jun 20, 2019",PSNL,"Personalis, Inc.",17.0,4.07,-76.06,359.23,2019
"Jun 19, 2019",STOK,"Stoke Therapeutics, Inc.",18.0,8.75,-51.39,477.72,2019
"Jun 14, 2019",CHWY,"Chewy, Inc.",22.0,38.21,73.66,15790.0,2019
"Jun 13, 2019",FVRR,Fiverr International Ltd.,21.0,26.79,27.57,962.01,2019
"Jun 12, 2019",CRWD,"CrowdStrike Holdings, Inc.",34.0,443.31,,109860.0,2019
"Jun 7, 2019",RVLV,"Revolve Group, Inc.",18.0,18.94,5.22,1350.0,2019
"Jun 6, 2019",GOTU,Gaotu Techedu Inc.,10.5,3.42,-67.48,842.0,2019
"May 23, 2019",BCYC,Bicycle Therapeutics plc,14.0,7.44,-46.89,514.52,2019
"May 23, 2019",IDYA,"IDEAYA Biosciences, Inc.",10.0,17.77,77.7,1550.0,2019
"May 17, 2019",AVTR,"Avantor, Inc.",14.0,11.98,-14.43,8160.0,2019
"May 17, 2019",FSLY,"Fastly, Inc.",16.0,5.87,-63.31,849.31,2019
"May 15, 2019",PSTL,"Postal Realty Trust, Inc.",17.0,12.73,-25.12,388.51,2019
"May 14, 2019",AGBA,AGBA Group Holding Limited,10.0,1.4,-86.0,55.45,2019
"May 14, 2019",APLT,"Applied Therapeutics, Inc.",10.0,0.4,-96.01,56.43,2019
"May 10, 2019",JFIN,Jiayin Group Inc.,10.5,12.57,19.71,670.86,2019
"May 10, 2019",SONM,"Sonim Technologies, Inc.",11.0,1.44,-86.91,9.11,2019
"May 10, 2019",UBER,"Uber Technologies, Inc.",45.0,85.83,90.73,179490.0,2019
"May 9, 2019",AXLA,"Axcella Health, Inc.",20.0,0.4,-98.0,1.18,2019
"May 9, 2019",HHR,Headhunter Group PLC,13.5,,,761.05,2019
"May 9, 2019",MEC,"Mayville Engineering Company, Inc.",17.0,13.16,-22.59,268.72,2019
"May 9, 2019",NXTC,"NextCure, Inc.",15.0,0.43,-97.11,12.32,2019
"May 9, 2019",QNCX,"Quince Therapeutics, Inc.",17.0,1.05,-93.82,46.2,2019
"May 9, 2019",SPFI,"South Plains Financial, Inc.",17.5,33.8,93.14,546.98,2019
"May 8, 2019",PSN,Parsons Corporation,27.0,62.72,132.3,6700.0,2019
"May 7, 2019",TRVI,"Trevi Therapeutics, Inc.",10.0,6.6,-34.0,638.1,2019
"May 3, 2019",RRBI,"Red River Bancshares, Inc.",45.0,55.62,23.6,376.97,2019
"May 3, 2019",SCPL,SciPlay Corporation,16.0,22.94,43.38,495.49,2019
"May 3, 2019",YJ,Yunji Inc.,11.0,1.59,-85.57,7.82,2019
"May 2, 2019",BYND,"Beyond Meat, Inc.",25.0,2.53,-89.88,193.25,2019
"May 2, 2019",SY,So-Young International Inc.,13.8,0.85,-93.86,85.29,2019
"May 2, 2019",TMDX,"TransMedics Group, Inc.",16.0,93.38,483.63,3160.0,2019
"Apr 30, 2019",WAFU,Wah Fu Education Group Limited,5.0,1.39,-72.2,6.13,2019
"Apr 18, 2019",GNLN,"Greenlane Holdings, Inc.",17.0,0.01,-99.95,0.07693000000000001,2019
"Apr 18, 2019",HOOK,HOOKIPA Pharma Inc.,14.0,1.48,-89.43,18.56,2019
"Apr 18, 2019",MNRL,"Brigham Minerals, Inc.",18.0,32.5,80.56,1960.0,2019
"Apr 18, 2019",PINS,"Pinterest, Inc.",19.0,26.99,42.05,18250.0,2019
"Apr 18, 2019",ZM,Zoom Communications Inc.,36.0,78.05,116.81,23820.0,2019
"Apr 17, 2019",BWAY,BrainsWay Ltd.,11.0,8.72,-20.73,162.45,2019
"Apr 17, 2019",PLMR,"Palomar Holdings, Inc.",15.0,156.33,942.2,4180.0,2019
"Apr 12, 2019",JMIA,Jumia Technologies AG,14.5,2.52,-82.62,308.61,2019
"Apr 11, 2019",PD,"PagerDuty, Inc.",24.0,15.11,-37.04,1380.0,2019
"Apr 11, 2019",TUFN,Tufin Software Technologies Ltd.,14.0,12.94,-7.57,502.59,2019
"Apr 5, 2019",GHSI,"Guardion Health Sciences, Inc.",4.0,3.25,-18.75,4.39,2019
"Apr 4, 2019",NGM,"NGM Biopharmaceuticals, Inc.",16.0,1.54,-90.38,128.53,2019
"Apr 4, 2019",SILK,"Silk Road Medical, Inc.",20.0,27.49,37.45,1120.0,2019
"Apr 4, 2019",TW,Tradeweb Markets Inc.,27.0,143.41,431.15,33890.0,2019
"Apr 2, 2019",XTKG,"X3 Holdings Co., Ltd.",,1.24,,17.07,2019
"Mar 29, 2019",HPH,Highest Performances Holdings Inc.,,6.65,,101.42,2019
"Mar 29, 2019",LYFT,"Lyft, Inc.",72.0,12.89,-82.1,5420.0,2019
"Mar 28, 2019",DTIL,"Precision BioSciences, Inc.",16.0,5.09,-66.56,53.35,2019
"Mar 27, 2019",GNFT,Genfit S.A.,22.0,4.62,-79.0,232.78,2019
"Mar 21, 2019",LEVI,Levi Strauss & Co.,17.0,16.17,-4.88,6390.0,2019
"Mar 20, 2019",TIGR,UP Fintech Holding Limited,8.0,9.34,16.75,1630.0,2019
"Mar 8, 2019",FUTU,Futu Holdings Limited,12.0,102.89,757.42,14330.0,2019
"Mar 7, 2019",SWAV,"ShockWave Medical, Inc.",17.0,334.75,,12570.0,2019
"Feb 26, 2019",SLE,"Super League Enterprise, Inc.",11.0,0.35,-96.83,6.28,2019
"Feb 15, 2019",AREC,American Resources Corporation,4.0,0.75,-81.57,58.27,2019
"Feb 15, 2019",HOTH,"Hoth Therapeutics, Inc.",5.6,0.91,-83.69,12.16,2019
"Feb 14, 2019",TCRR,TCR2 Therapeutics Inc.,15.0,1.48,-89.8,58.11,2019
"Feb 13, 2019",BACK,"IMAC Holdings, Inc.",5.13,0.2,-96.18,0.39785000000000004,2019
"Feb 8, 2019",GOSS,"Gossamer Bio, Inc.",16.0,1.09,-93.22,246.54,2019
"Feb 8, 2019",HARP,"Harpoon Therapeutics, Inc.",14.0,23.01,64.36,492.35,2019
"Feb 7, 2019",ALEC,"Alector, Inc.",19.0,1.06,-94.47,105.99,2019
"Feb 4, 2019",INMB,"INmune Bio, Inc.",8.0,7.12,-11.0,163.88,2019
"Jan 31, 2019",NFE,New Fortress Energy Inc.,14.0,5.76,-58.86,1580.0,2019
"Jan 17, 2019",RBKB,"Rhinebeck Bancorp, Inc.",10.0,11.29,12.9,120.62,2019
"Jan 9, 2019",BCOW,"1895 Bancorp of Wisconsin, Inc.",10.0,9.4,-6.0,52.07,2019
"Jan 8, 2019",MTC,"MMTec, Inc.",4.0,1.16,-71.0,29.22,2019
"Jan 4, 2019",SXTC,"China SXT Pharmaceuticals, Inc.",4.0,2.05,-53.5,28.21,2019
"Dec 29, 2020",MRM,MEDIROM Healthcare Technologies Inc.,15.0,0.75,-94.98,5.95,2020
"Dec 23, 2020",CFIV,CF Acquisition Corp. IV,10.0,10.58,5.8,249.88,2020
"Dec 23, 2020",HCAR,Healthcare Services Acquisition Corporation,10.0,10.11,1.1,418.14,2020
"Dec 23, 2020",IKT,"Inhibikase Therapeutics, Inc.",10.0,1.96,-80.35,145.71,2020
"Dec 23, 2020",VII,"7GC & Co. Holdings, Inc.",10.0,10.96,9.6,99.51,2020
"Dec 18, 2020",DUNE,Dune Acquisition Corporation,10.0,4.05,-59.5,22.25,2020
"Dec 18, 2020",GFX,Golden Falcon Acquisition Corp.,10.0,10.23,2.3,131.29,2020
"Dec 18, 2020",IIII,Insu Acquisition Corp. III,10.0,10.08,0.8,344.07,2020
"Dec 18, 2020",MASS,908 Devices Inc.,20.0,5.35,-73.25,187.6,2020
"Dec 18, 2020",MTAC,MedTech Acquisition Corporation,10.0,11.34,13.4,83.86,2020
"Dec 17, 2020",COOL,Corner Growth Acquisition Corp.,10.0,,,113.94,2020
"Dec 17, 2020",MDWT,"Midwest Holding, Inc.",70.0,26.99,-61.44,101.07,2020
"Dec 17, 2020",SCOA,ScION Tech Growth I,10.0,10.1,1.0,725.94,2020
"Dec 16, 2020",BCAB,"BioAtla, Inc.",18.0,0.48,-97.36,27.76,2020
"Dec 16, 2020",CCV,Churchill Capital Corp V,10.0,10.4,3.95,283.54,2020
"Dec 16, 2020",LOGC,ContextLogic Inc.,24.0,6.98,-70.94,183.54,2020
"Dec 16, 2020",UPST,"Upstart Holdings, Inc.",20.0,51.4,157.0,4890.0,2020
"Dec 15, 2020",KINZ,"Kins Technology Group, Inc.",10.0,4.1,-0.6,77.91,2020
"Dec 15, 2020",OCG,Oriental Culture Holding LTD,4.0,4.98,24.5,92.48,2020
"Dec 15, 2020",WNW,Meiwu Technology Company Limited,5.0,2.15,-58.6,6.81,2020
"Dec 11, 2020",ABCL,AbCellera Biologics Inc.,20.0,2.03,-89.85,604.91,2020
"Dec 11, 2020",CERT,"Certara, Inc.",23.0,11.47,-50.13,1840.0,2020
"Dec 11, 2020",EDTX,EdtechX Holdings Acquisition Corp. II,10.0,63.24,532.4,199.19,2020
"Dec 11, 2020",FDMT,"4D Molecular Therapeutics, Inc.",23.0,3.09,-86.57,143.07,2020
"Dec 11, 2020",NBTX,Nanobiotix S.A.,13.5,3.39,-74.87,162.19,2020
"Dec 11, 2020",SNRH,Senior Connect Acquisition Corp. I,10.0,10.04,0.35,116.25,2020
"Dec 11, 2020",VVOS,"Vivos Therapeutics, Inc.",6.0,2.55,-57.5,15.14,2020
"Dec 10, 2020",ABNB,"Airbnb, Inc.",68.0,121.67,78.93,75100.0,2020
"Dec 10, 2020",CTAQ,Carney Technology Acquisition Corp. II,10.0,10.18,1.8,521.34,2020
"Dec 10, 2020",HYFM,"Hydrofarm Holdings Group, Inc.",20.0,4.12,-78.7,19.01,2020
"Dec 9, 2020",AI,"C3.ai, Inc.",42.0,21.82,-48.05,2900.0,2020
"Dec 9, 2020",ALTU,Altitude Acquisition Corp.,10.0,10.12,1.2,85.77,2020
"Dec 9, 2020",DASH,"DoorDash, Inc.",102.0,190.11,86.38,80560.0,2020
"Dec 9, 2020",PUBM,"PubMatic, Inc.",20.0,9.82,-50.9,474.72,2020
"Dec 8, 2020",MUDS,Mudrick Capital Acquisition Corp. II,10.0,10.16,1.6,401.64,2020
"Dec 4, 2020",SEER,"Seer, Inc.",19.0,1.91,-89.95,114.18,2020
"Dec 4, 2020",SGTX,"Sigilon Therapeutics, Inc.",18.0,22.47,24.83,56.22,2020
"Dec 4, 2020",YQ,17 Education & Technology Group Inc.,10.5,2.15,-79.52,19.03,2020
"Dec 3, 2020",DCBO,Docebo Inc.,52.21,31.49,-39.69,954.75,2020
"Dec 3, 2020",FPAC,Far Peak Acquisition Corporation,10.0,10.21,2.1,712.15,2020
"Dec 3, 2020",KNTE,"Kinnate Biopharma, Inc.",20.0,2.65,-86.75,125.15,2020
"Nov 25, 2020",SPRQ,Spartan Acquisition Corp. II,10.0,9.46,-5.4,407.96,2020
"Nov 24, 2020",OZON,Ozon Holdings PLC,30.0,,,2420.0,2020
"Nov 24, 2020",VMAR,Vision Marine Technologies Inc.,10.0,6.35,-36.9,7.02,2020
"Nov 23, 2020",BREZ,Breeze Holdings Acquisition Corp.,10.0,,,48.97,2020
"Nov 20, 2020",ARBG,Aequi Acquisition Corp.,10.0,,,95.63,2020
"Nov 20, 2020",KWAC,Kingswood Acquisition Corp.,10.0,13.3,33.0,46.19,2020
"Nov 20, 2020",MRVI,"Maravai LifeSciences Holdings, Inc.",27.0,2.04,-92.44,518.2,2020
"Nov 20, 2020",SHC,Sotera Health Company,23.0,12.87,-44.07,3650.0,2020
"Nov 19, 2020",NGMS,NeoGames S.A.,17.0,,,998.21,2020
